time	hru_evap(1)	soil_runoff(1)	soil_moist(1)	soil_rechr(1)	runoff(1)	meltrunoff(1)	infil(1)	hru_actet(1)	Sdex(1)	Sdexcess(1)	basinflow_m(1)	gwoutflow_m(1)	outflow_m(1)	runoutflow_m(1)	Sd(1)
units	(mm/int)	(mm/int)	(mm)	(mm)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm)
40827.625	0.380922	0	215.436	25.4365	0	0	0	0.149307	0	0	0	0	0	0	11.2785
40827.66667	0.27381	0	215.343	25.3432	0	0	0	0.106836	0	0	0	0	0	0	11.2649
40827.70833	0.146389	0	215.294	25.2936	0	0	0	0.0569327	0	0	0	0	0	0	11.2576
40827.75	0	0	215.294	25.2936	0	0	0	0	0	0	0	0	0	0	11.2576
40827.79167	0	0	215.294	25.2936	0	0	0	0	0	0	0	0	0	0	11.2576
40827.83333	0	0	215.294	25.2936	0	0	0	0	0	0	0	0	0	0	11.2576
40827.875	0	0	215.294	25.2936	0	0	0	0	0	0	0	0	0	0	11.2576
40827.91667	0	0	215.294	25.2936	0	0	0	0	0	0	0	0	0	0	11.2576
40827.95833	0	0	215.294	25.2936	0	0	0	0	0	0	0	0	0	0	11.2576
40828	0	0	215.294	25.2936	0	0	0	0	0	0	0	0	0	0	11.2576
40828.04167	0	0	215.294	25.2936	0	0	0	0	0	0	0	0	0	0	11.2576
40828.08333	0	0	215.294	25.2936	0	0	0	0	0	0	0	0	0	0	11.2576
40828.125	0	0	215.294	25.2936	0	0	0	0	0	0	0	0	0	0	11.2576
40828.16667	0	0	215.294	25.2936	0	0	0	0	0	0	0	0	0	0	11.2576
40828.20833	0	0	215.294	25.2936	0	0	0	0	0	0	0	0	0	0	11.2576
40828.25	0	0	215.294	25.2936	0	0	0	0	0	0	0	0	0	0	11.2576
40828.29167	0	0	215.294	25.2936	0	0	0	0	0	0	0	0	0	0	11.2576
40828.33333	0.0788362	0	215.267	25.2669	0	0	0	0.0306071	0	0	0	0	0	0	11.2537
40828.375	0.112714	0	215.229	25.2288	0	0	0	0.0437186	0	0	0	0	0	0	11.2481
